         cycles        counter    temperature          E avg       Heat cap          M avg      Magn susp      M avg abs     E variance     M variance              E
              1        3153465      2.0000000     -1.7451843     0.71758069     0.91131173     0.37119395     0.91131173      2.8703228     0.74238790     -2872.0000
              1        3211830      2.0050000     -1.7420843     0.73514827     0.90950440     0.41925791     0.90950440      2.9553144     0.84061211     -2684.0000
              1        3265592      2.0100000     -1.7387822     0.73359415     0.90813983     0.41024706     0.90813983      2.9637937     0.82459660     -2740.0000
              1        3310280      2.0150000     -1.7341644     0.74966039     0.90609593     0.41385366     0.90609593      3.0437899     0.83391512     -2720.0000
              1        3340785      2.0200000     -1.7315114     0.75005790     0.90508465     0.41738824     0.90508465      3.0605363     0.84312424     -2796.0000
              1        3412482      2.0250000     -1.7271263     0.76594713     0.90272800     0.47089577     0.90272800      3.1408620     0.95356393     -2636.0000
              1        3480816      2.0300000     -1.7229233     0.78595424     0.90103714     0.46113097     0.90103714      3.2388388     0.93609588     -2732.0000
              1        3516484      2.0350000     -1.7191182     0.79992532     0.89886163     0.50959111     0.89886163      3.3126707      1.0370179     -2848.0000
              1        3602383      2.0400000     -1.7145473     0.81824834     0.89658374     0.58700334     0.89658374      3.4052223      1.1974868     -2676.0000
              1        3643240      2.0450000     -1.7115073     0.80914180     0.89534107     0.52674568     0.89534107      3.3838513      1.0771949     -2888.0000
              1        3683714      2.0500000     -1.7076711     0.81576863     0.89340913     0.55759141     0.89340913      3.4282677      1.1430624     -2792.0000
              1        3762445      2.0550000     -1.7031889     0.84050140     0.89108604     0.59119125     0.89108604      3.5494584      1.2148980     -2636.0000
              1        3817895      2.0600000     -1.6991009     0.85719654     0.88903584     0.67362342     0.88903584      3.6375992      1.3876643     -2656.0000
              1        3899260      2.0650000     -1.6938302     0.87264178     0.88539956     0.77642297     0.88539956      3.7211409      1.6033134     -2720.0000
              1        3919275      2.0700000     -1.6899687     0.88006162     0.88432205     0.67991559     0.88432205      3.7709760      1.4074253     -2768.0000
              1        4007011      2.0750000     -1.6852059     0.89636735     0.88141254     0.83480863     0.88141254      3.8594217      1.7322279     -2712.0000
              1        4031060      2.0800000     -1.6826836     0.89053617     0.88064314     0.74073412     0.88064314      3.8528157      1.5407270     -2688.0000
              1        4112438      2.0850000     -1.6769661     0.92647463     0.87711056     0.83430576     0.87711056      4.0275937      1.7395275     -2792.0000
              1        4191406      2.0900000     -1.6719719     0.93529720     0.87443991     0.82568665     0.87443991      4.0854717      1.7256851     -2732.0000
              1        4287539      2.0950000     -1.6667337     0.94626705     0.87123933     0.85060598     0.87123933      4.1531897      1.7820195     -2676.0000
              1        4297829      2.1000000     -1.6633613     0.95751139     0.86972934     0.91565765     0.86972934      4.2226252      1.9228811     -2684.0000
              1        4400359      2.1050000     -1.6571655     0.97752486     0.86598788      1.0023473     0.86598788      4.3314371      2.1099410     -2632.0000
              1        4449409      2.1100000     -1.6519975      1.0012409     0.86256115      1.0862248     0.86256115      4.4576247      2.2919343     -2756.0000
              1        4561520      2.1150000     -1.6470831      1.0098436     0.86012724      1.0415549     0.86012724      4.5172574      2.2028886     -2668.0000
              1        4636543      2.1200000     -1.6412307      1.0314763     0.85527425      1.3163173     0.85527425      4.6358672      2.7905927     -2788.0000
              1        4670966      2.1250000     -1.6376121      1.0426501     0.85421616      1.2684915     0.85421616      4.7082170      2.6955444     -2528.0000
              1        4781278      2.1300000     -1.6320063      1.0646191     0.85014266      1.4684334     0.85014266      4.8300706      3.1277631     -2544.0000
              1        4860204      2.1350000     -1.6257443      1.0855242     0.84628381      1.5139361     0.84628381      4.9480636      3.2322535     -2568.0000
              1        4922170      2.1400000     -1.6227910      1.0798739     0.84600692      1.2964307     0.84600692      4.9453904      2.7743616     -2728.0000
              1        4973894      2.1450000     -1.6172990      1.0753400     0.84214868      1.4489124     0.84214868      4.9476662      3.1079170     -2640.0000
              1        5099521      2.1500000     -1.6108196      1.1080576     0.83742551      1.5089489     0.83742551      5.1219964      3.2442401     -2632.0000
              1        5110118      2.1550000     -1.6051884      1.1596930     0.83355754      1.7959176     0.83355754      5.3856434      3.8702025     -2764.0000
              1        5207348      2.1600000     -1.5990357      1.1792492     0.82815666      2.4600748     0.82815666      5.5019050      5.3137615     -2484.0000
              1        5436270      2.1650000     -1.5914233      1.2186577     0.82113541      2.2380885     0.82113541      5.7121230      4.8454615     -2548.0000
              1        5502237      2.1700000     -1.5855821      1.3164333     0.81489139      4.5169480     0.81489139      6.1989527      9.8017772     -2504.0000
              1        5468523      2.1750000     -1.5825755      1.1648473     0.81827516      1.8887153     0.81827516      5.5104557      4.1079557     -2428.0000
              1        5569916      2.1800000     -1.5747842      1.2562909     0.81144309      2.3390502     0.81144309      5.9703968      5.0991295     -2468.0000
              1        5682784      2.1850000     -1.5674375      1.3089363     0.80513429      2.7478620     0.80513429      6.2491565      6.0040784     -2564.0000
              1        5901951      2.1900000     -1.5580001      1.4282593     0.78971123      6.1207585     0.78971638      6.8500742      13.404461     -2512.0000
              1        5995056      2.1950000     -1.5535566      1.3936304     0.71532799      87.575362     0.79036564      6.7145463      192.22792     -2388.0000
              1        5972014      2.2000000     -1.5486679      1.3480433     0.79008345      3.3739104     0.79008345      6.5245294      7.4226029     -2492.0000
              1        6185434      2.2050000     -1.5384878      1.4969459     0.46966725      282.64418     0.77601950      7.2781884      623.23042     -2432.0000
              1        6249378      2.2100000     -1.5330464      1.4851246     0.72388286      58.396536     0.77191254      7.2534972      129.05634     -2556.0000
              1        6316719      2.2150000     -1.5251138      1.4464071     0.76651286      4.7854960     0.76651286      7.0963987      10.599874     -2612.0000
              1        6391295      2.2200000     -1.5197657      1.5097213     0.75868361      7.0516658     0.75871166      7.4405103      15.654698     -2344.0000
              1        6558795      2.2250000     -1.5132541      1.5088968     0.75547868      6.2771308     0.75547868      7.4699822      13.966616     -2612.0000
