         cycles        counter    temperature          E avg       Heat cap          M avg      Magn susp      M avg abs     E variance     M variance              E
              1        1428861      2.0000000     -1.7457856     0.77247428     0.91125642     0.42131652     0.91125642      3.0898971     0.84263305     -6128.0000
              1        1440873      2.0050000     -1.7429799     0.69752967     0.91038814     0.36148719     0.91038814      2.8040867     0.72478182     -6108.0000
              1        1462534      2.0100000     -1.7398383     0.74322773     0.90904467     0.40351917     0.90904467      3.0027144     0.81107353     -6208.0000
              1        1482778      2.0150000     -1.7342598     0.76672957     0.90600414     0.43041112     0.90600414      3.1130946     0.86727842     -6376.0000
              1        1533084      2.0200000     -1.7292718     0.79996662     0.90331944     0.50719020     0.90331944      3.2641838      1.0245242     -6284.0000
              1        1537274      2.0250000     -1.7268029     0.78435686     0.90265339     0.45421178     0.90265339      3.2163534     0.91977885     -6148.0000
              1        1561169      2.0300000     -1.7234293     0.80875730     0.90093592     0.50655539     0.90093592      3.3328080      1.0283074     -6148.0000
              1        1602185      2.0350000     -1.7186414     0.79298791     0.89896931     0.47071914     0.89896931      3.2839414     0.95791344     -6084.0000
              1        1598610      2.0400000     -1.7157337     0.81452850     0.89733464     0.52883344     0.89733464      3.3897418      1.0788202     -6236.0000
              1        1631823      2.0450000     -1.7120758     0.78598683     0.89585856     0.49091238     0.89585856      3.2870166      1.0039158     -6132.0000
              1        1665401      2.0500000     -1.7066863     0.86249216     0.89241997     0.63132420     0.89241997      3.6246233      1.2942146     -6084.0000
              1        1673260      2.0550000     -1.7037751     0.82971551     0.89113286     0.63191566     0.89113286      3.5039094      1.2985867     -6208.0000
              1        1727281      2.0600000     -1.6986042     0.86929492     0.88859781     0.66538308     0.88859781      3.6889399      1.3706891     -6152.0000
              1        1732570      2.0650000     -1.6944267     0.85999907     0.88675206     0.66265170     0.88675206      3.6672295      1.3683758     -6236.0000
              1        1790609      2.0700000     -1.6901162     0.89310827     0.88434008     0.70574464     0.88434008      3.8268796      1.4608914     -6064.0000
              1        1818440      2.0750000     -1.6866749     0.88229229     0.88326758     0.65764875     0.88326758      3.7988198      1.3646212     -6080.0000
              1        1826742      2.0800000     -1.6810923     0.88858966     0.87946553     0.73444119     0.87946553      3.8443943      1.5276377     -6164.0000
              1        1878349      2.0850000     -1.6757825     0.94608004     0.87567917     0.92119563     0.87567917      4.1128228      1.9206929     -6088.0000
              1        1902972      2.0900000     -1.6709623     0.95655886     0.87349186     0.85039438     0.87349186      4.1783448      1.7773243     -5816.0000
              1        1942166      2.0950000     -1.6665672     0.93608914     0.87137044     0.82414092     0.87137044      4.1085186      1.7265752     -6036.0000
              1        1961500      2.1000000     -1.6607828     0.96589164     0.86819531     0.90391578     0.86819531      4.2595821      1.8982231     -6140.0000
              1        1968008      2.1050000     -1.6590098     0.96917988     0.86752631     0.93121529     0.86752631      4.2944603      1.9602082     -5836.0000
