         cycles        counter    temperature          E avg       Heat cap          M avg      Magn susp      M avg abs     E variance     M variance              E
              1       13050837      2.0000000     -1.7249109      3.7310539    -0.32359601      1811.4534     0.76508031      14.924216      3622.9069     -11288.000
              1       13213443      2.0050000     -1.7364809      1.9630072    -0.43888051      1920.3157     0.88338793      7.8913379      3850.2330     -11260.000
              1       13323358      2.0100000     -1.6981044      4.5511371    -0.13429163      1516.7283     0.59269085      18.387049      3048.6240     -11228.000
              1       14201258      2.0150000     -1.7241171      2.6343709    -0.40306906      1860.9227     0.84123091      10.696138      3749.7593     -11372.000
              1       13951516      2.0200000     -1.7042871      3.8817776    -0.63798679      625.01703     0.70717715      15.839205      1262.5344     -11100.000
              1       14710800      2.0250000     -1.7113743      3.1050640    0.053771681      2191.1561     0.79174334      12.732703      4437.0911     -11296.000
              1       14099268      2.0300000     -1.7178908      1.9260681    -0.44651152      1841.9035     0.87861305      7.9371339      3739.0641     -11200.000
              1       14569216      2.0350000     -1.7118496      2.1021251    0.027222475      2391.6637     0.85807908      8.7053729      4867.0356     -11188.000
              1       14543229      2.0400000     -1.7009673      3.0068486    -0.79712697      206.97419     0.79939779      12.513301      422.22734     -10900.000
              1       15687247      2.0450000     -1.6951875      3.3840967    -0.34938883      1773.4071     0.78842710      14.152377      3626.6175     -10772.000
              1       16260320      2.0500000     -1.6940508      2.7136864    -0.41512541      1653.7256     0.80177906      11.404267      3390.1374     -10700.000
              1       15225386      2.0550000     -1.6982654      1.9066251   0.0040744094      2399.0089     0.87206297      8.0517257      4929.9632     -10772.000
              1       15747531      2.0600000     -1.6839168      3.0871114    -0.43489394      1562.9941     0.80185289      13.100466      3219.7679     -10780.000
              1       15874941      2.0650000     -1.6798154      2.8664205    -0.48902453      1365.0370     0.78553503      12.223062      2818.8014     -11068.000
              1       15840660      2.0700000     -1.6827977      2.1104806   -0.027124594      2278.8118     0.84448798      9.0431984      4717.1403     -10640.000
              1       16398268      2.0750000     -1.6785043      2.1240595  -0.0052781438      2283.1117     0.85032337      9.1454038      4737.4568     -10884.000
              1       16434946      2.0800000     -1.6748587      2.1120566     0.84891582      52.451289     0.84895811      9.1376015      109.09868     -10720.000
              1       16690904      2.0850000     -1.6726308      1.8419475  -0.0039379438      2308.7660     0.86355386      8.0073603      4813.7772     -10748.000
              1       17119067      2.0900000     -1.6658601      2.0418878     0.84692233      44.507495     0.84697273      8.9191700      93.020665     -10376.000
              1       17347629      2.0950000     -1.6632102      1.8097000    -0.42709549      1703.2840     0.85568058      7.9428186      3568.3801     -10716.000
              1       17552654      2.1000000     -1.6428043      3.3691584    -0.37591910      1444.2092     0.72838698      14.857989      3032.8394     -10468.000
              1       17834291      2.1050000     -1.6469551      2.5697743   -0.037544713      2078.5533     0.80615876      11.386734      4375.3547     -10848.000
              1       18691326      2.1100000     -1.6421080      2.5286019    -0.80317991      114.58561     0.80457269      11.257589      241.77563     -10776.000
              1       18277813      2.1150000     -1.6318614      2.9598932     0.30362635      1622.0365     0.74968693      13.240268      3430.6071     -10616.000
              1       18784068      2.1200000     -1.6326141      2.4679412    -0.38368040      1592.5937     0.80187210      11.091915      3376.2986     -10388.000
              1       18999794      2.1250000     -1.6202266      3.1104171     0.72791147      249.22388     0.73775865      14.045477      529.60075     -10680.000
              1       19215565      2.1300000     -1.6276552      1.8795774    -0.83290914      26.811926     0.83292154      8.5274547      57.109402     -10460.000
              1       20259014      2.1350000     -1.6188398      2.3750483    -0.80397574      85.452669     0.80595759      10.826004      182.44145     -10368.000
              1       20007655      2.1400000     -1.6154448      2.0698389  -0.0093158125      2040.5140     0.81769607      9.4790340      4366.7000     -10340.000
              1       20714247      2.1450000     -1.6064735      2.3427904     0.36489439      1538.7761     0.78471155      10.779237      3300.6747     -10316.000
              1       20791371      2.1500000     -1.5996717      2.4766965    -0.37595045      1477.7748     0.77803238      11.448530      3177.2157     -10240.000
              1       21417883      2.1550000     -1.5958800      2.3944040     0.41248286      1421.9232     0.79344789      11.119672      3064.2445     -9952.0000
              1       21564348      2.1600000     -1.5912247      2.2334949     0.37923006      1479.5624     0.78732886      10.420594      3195.8547     -10440.000
              1       21859093      2.1650000     -1.5865959      2.1249617     0.40464788      1433.4194     0.79568756      9.9601735      3103.3530     -9992.0000
              1       22196389      2.1700000     -1.5761332      2.4713263   -0.037389950      1795.8879     0.75912907      11.637228      3897.0768     -10224.000
              1       22239827      2.1750000     -1.5740534      2.2883665   0.0036381094      1857.1501     0.78417708      10.825404      4039.3014     -10136.000
              1       22561560      2.1800000     -1.5666542      2.1786434  -0.0029397406      1833.0200     0.78253322      10.353785      3995.9836     -9936.0000
              1       23170378      2.1850000     -1.5605282      2.3276582    0.012492456      1789.8740     0.76807028      11.112764      3910.8748     -10040.000
              1       23465079      2.1900000     -1.5533253      2.4303560     0.40308938      1282.7144     0.76162911      11.656230      2809.1446     -9952.0000
              1       24030972      2.1950000     -1.5476165      2.3406363     0.39213588      1292.9701     0.76134073      11.277244      2838.0694     -9588.0000
              1       24422769      2.2000000     -1.5398748      2.2192589  -0.0036233344      1694.2670     0.75310866      10.741213      3727.3874     -10096.000
              1       25239537      2.2050000     -1.5273116      2.6579910   -0.014095791      1572.8650     0.71331098      12.923219      3468.1674     -10212.000
              1       25078940      2.2100000     -1.5288396      2.0773712    -0.75523202      23.256523     0.75523202      10.146089      51.396917     -9852.0000
              1       25737959      2.2150000     -1.5160716      2.3888195    0.024487841      1553.2830     0.71927289      11.720086      3440.5219     -9980.0000
              1       26735184      2.2200000     -1.5079117      2.6437927    0.011032456      1489.1872     0.69709033      13.029668      3305.9955     -9832.0000
              1       26620201      2.2250000     -1.5040506      2.3141258   0.0017764875      1538.1135     0.72200065      11.456369      3422.3026     -9704.0000
              1       27508113      2.2300000     -1.4864053      3.0589124    0.038452187      1307.8113     0.63439803      15.211665      2916.4192     -9288.0000
              1       27543228      2.2350000     -1.4853760      2.5050484     0.32878718      1101.6642     0.68733340      12.513280      2462.2194     -8940.0000
              1       28173241      2.2400000     -1.4744244      2.6553023    -0.34049681      994.97456     0.66146633      13.323245      2228.7430     -9208.0000
              1       28589473      2.2450000     -1.4657363      2.5733971    -0.30216199      1021.1110     0.65017633      12.969986      2292.3942     -9228.0000
              1       29581850      2.2500000     -1.4587943      2.3719161   -0.010755950      1265.0044     0.65406689      12.007825      2846.2599     -9476.0000
              1       29631192      2.2550000     -1.4457291      2.6630888   -0.043293200      1153.0277     0.61579992      13.541873      2600.0775     -9492.0000
              1       29974238      2.2600000     -1.4422400      2.4426805   -0.024202122      1173.8038     0.63057275      12.476235      2652.7966     -9572.0000
              1       30734259      2.2650000     -1.4239997      2.9005695     0.27143789      776.67977     0.55486908      14.880574      1759.1797     -9532.0000
              1       31788551      2.2700000     -1.4104780      2.5839263    -0.23594055      710.33773     0.51801458      13.314714      1612.4667     -9004.0000
